-96.6617000,39.1491000,-96.5271000,39.2225000
121744338,121848076,0.022
121744338,121936119,0.020
121744338,121848092,0.036
121744338,8597797853,0.035
121744338,121744327,0.123
121744327,1676523829,0.016
121744327,1676523793,0.008
121744327,121744338,0.123
8597797853,8597797856,0.024
8597797853,8597797845,0.027
8597797853,121744338,0.035
8597797845,8597797844,0.007
8597797845,121744342,0.059
8597797845,8597797853,0.027
121744342,9574094175,0.013
121744342,121744344,0.026
121744342,8597797845,0.059
121744344,9574094174,0.014
121744344,121744347,0.010
121744344,121744342,0.026
121744347,121759668,0.011
121744347,5890239347,0.017
121744347,121744349,0.024
121744347,121744344,0.010
121744349,8597797839,0.012
121744349,8597797835,0.033
121744349,121744347,0.024
8597797835,9315776638,0.012
8597797835,121744354,0.033
8597797835,121744349,0.033
121744354,9315776676,0.011
121744354,9315776660,0.010
121744354,8597797835,0.033
9315776660,121744356,0.008
9315776660,121744354,0.010
121744356,9315776661,0.017
121744356,9315776660,0.008
9315776661,121744358,0.005
9315776661,121744356,0.017
121744358,121744360,0.007
121744358,9315776661,0.005
121744360,121759648,0.025
121744360,9315776673,0.009
121744360,121744361,0.008
121744360,121744358,0.007
121744361,9315776625,0.005
121744361,121744360,0.008
9315776625,121744363,0.015
9315776625,121744361,0.005
121744363,9315776624,0.006
121744363,9315776625,0.015
9315776624,121744365,0.046
9315776624,121744363,0.006
121744365,5890239330,0.026
121744365,2377916458,0.004
121744365,9315776624,0.046
2309921056,2309921053,0.045
2309921056,2309921048,0.014
2309921056,121749624,0.016
121749624,121749636,0.045
121749624,1796320166,0.006
121749624,2309921056,0.016
2309921048,2309921035,0.027
2309921048,2309921066,0.012
2309921048,2309921056,0.014
2309921066,2309921062,0.028
2309921066,5796343212,0.002
2309921066,2309921048,0.012
5796343212,2309921058,0.011
5796343212,2309921066,0.002
2309921058,2309921067,0.028
2309921058,121749625,0.009
2309921058,5796343212,0.011
121749625,2309921032,0.008
121749625,2309921029,0.006
121749625,2309921058,0.009
121749645,2309921034,0.013
121749645,121749643,0.031
121749643,9561331253,0.004
121749643,2309921050,0.015
121749643,121749645,0.031
2309921034,2309921050,0.039
2309921034,121749649,0.002
2309921034,121749645,0.013
121749649,1796320166,0.006
121749649,2309921034,0.002
1796320166,121749624,0.006
1796320166,121749649,0.006
121749636,2309921053,0.016
121749636,121749652,0.011
121749636,121749624,0.045
121749652,121780920,0.017
121749652,5948854597,0.024
121749652,121749636,0.011
2377916456,7406074652,0.021
2377916456,121744368,0.005
121744368,7406074653,0.011
121744368,1727291144,0.043
121744368,2377916456,0.005
7406074652,7406074654,0.008
7406074652,121749682,0.022
7406074652,2377916456,0.021
121749682,2309921061,0.039
121749682,121749684,0.043
121749682,7406074652,0.022
121749684,2309921061,0.043
121749684,5796343207,0.009
121749684,121749682,0.043
5796343207,5796343208,0.011
5796343207,2309921029,0.002
5796343207,121749684,0.009
2309921029,121749625,0.006
2309921029,5796343207,0.002
2309921061,121749684,0.043
2309921061,121749689,0.019
2309921061,121749682,0.039
121749689,121749690,0.036
121749689,2309921061,0.019
121749690,121749692,0.020
121749690,121749689,0.036
121749692,2309921050,0.004
121749692,121749690,0.020
2309921050,2309921034,0.039
2309921050,121749643,0.015
2309921050,121749692,0.004
9561331253,9561331255,0.028
9561331253,9561331254,0.035
9561331253,121749643,0.004
9561331254,9561331258,0.002
9561331254,9561331253,0.035
9561331258,9561331259,0.013
