-96.5871000,39.1855000,-96.5750000,39.1919000
3659517448,6432729893,0.012
3659517448,121995147,0.030
121995147,3659517448,0.030
6432729893,9584124278,0.012
6432729893,3659517448,0.012
9584124278,6235391021,0.030
9584124278,6432729893,0.012
6235391021,9347940951,0.000
6235391021,9584124278,0.030
9347940951,9347940952,0.005
9347940951,6235391021,0.000
9347940952,121996364,0.001
9347940952,9347940951,0.005
121996364,3659540652,0.003
121996364,9347940952,0.001
3659540652,6235391022,0.002
3659540652,121996364,0.003
6235391022,121996369,0.052
6235391022,3659540652,0.002
121996369,8595474172,0.016
121996369,6235391022,0.052
8595474172,121996372,0.042
8595474172,121996369,0.016
121996372,122015378,0.029
121996372,8595474166,0.007
121996372,8595474172,0.042
8595474166,8595474167,0.005
8595474166,2318553779,0.020
8595474166,121996372,0.007
2318553779,8597151761,0.003
2318553779,8595474166,0.020
8597151761,8597151762,0.015
8597151761,2271964124,0.033
8597151761,2318553779,0.003
2271964124,121996374,0.005
2271964124,8597151761,0.033
121996374,1846187283,0.005
121996374,3709386010,0.004
121996374,3709386007,0.005
121996374,2271964124,0.005
9190712661,4376747484,0.031
9190712661,121997132,0.006
121997132,9190712661,0.006
4376747484,121997136,0.034
4376747484,9190712661,0.031
121997136,9735669260,0.028
121997136,4376747484,0.034
9735669260,121997138,0.013
9735669260,121997136,0.028
121997138,9307578759,0.056
121997138,9735669260,0.013
9307578759,121997141,0.004
9307578759,121997138,0.056
121997141,9307578769,0.005
121997141,9307578759,0.004
9307578769,10704726173,0.016
9307578769,121997141,0.005
10704726173,1136230289,0.040
10704726173,9307578769,0.016
1136230289,121997145,0.004
1136230289,10704726173,0.040
121997145,3665384932,0.004
121997145,1136230289,0.004
3665384932,8601209837,0.037
3665384932,121997145,0.004
8601209837,8601209838,0.004
8601209837,9630346198,0.003
8601209837,3665384932,0.037
9630346198,9630346199,0.003
9630346198,1209626688,0.018
9630346198,8601209837,0.003
1209626688,121997149,0.008
1209626688,9630346198,0.018
121997149,122041966,0.054
121997149,1209627069,0.011
121997149,1209626688,0.008
9503319040,5365455020,0.051
9503319040,121999253,0.019
121999253,9503319040,0.019
5365455020,121999259,0.007
5365455020,9503319040,0.051
121999259,5365456421,0.006
121999259,5365455020,0.007
5365456421,121999262,0.081
5365456421,121999259,0.006
121999262,3709414133,0.006
121999262,5365456421,0.081
3709414133,5340487013,0.075
3709414133,121999262,0.006
5340487013,121998312,0.006
5340487013,3709414133,0.075
121998312,5340487012,0.007
121998312,5340487013,0.006
5340487012,9503319086,0.052
5340487012,121998312,0.007
9503319086,5365456424,0.025
9503319086,5340487012,0.052
5365456424,9354738582,0.002
5365456424,9503319086,0.025
9354738582,121999265,0.005
9354738582,5365456424,0.002
121999265,5365456425,0.007
121999265,9354738582,0.005
5365456425,4894718798,0.079
5365456425,121999265,0.007
4894718798,9307675594,0.000
4894718798,5365456425,0.079
9307675594,121999270,0.005
9307675594,4894718798,0.000
121999270,4894718797,0.005
121999270,9307675594,0.005
4894718797,121999272,0.082
4894718797,121999270,0.005
121999272,9503100903,0.006
121999272,4894718797,0.082
9503100903,4894718783,0.077
9503100903,121999272,0.006
4894718783,121999276,0.005
4894718783,9503100903,0.077
121999276,9330952396,0.005
121999276,4894718783,0.005
9330952396,4894718784,0.001
9330952396,121999276,0.005
4894718784,5336120957,0.020
4894718784,9330952396,0.001
5336120957,4894720728,0.054
5336120957,4894718784,0.020
4894720728,9354738607,0.001
4894720728,5336120957,0.054
9354738607,121999278,0.005
9354738607,4894720728,0.001
121999278,9503100916,0.005
121999278,9354738607,0.005
9503100916,4894720727,0.001
9503100916,121999278,0.005
4894720727,9333190983,0.058
4894720727,9503100916,0.001
9333190983,5365456427,0.016
9333190983,4894720727,0.058
5365456427,9354772800,0.002
5365456427,9333190983,0.016
9354772800,121996981,0.004
9354772800,5365456427,0.002
121996981,9354341078,0.006
121996981,9354772800,0.004
9354341078,5365456426,0.001
9354341078,121996981,0.006
5365456426,5336120418,0.022
5365456426,9354341078,0.001
5336120418,5803885557,0.006
5336120418,9331276745,0.033
5336120418,5365456426,0.022
9331276745,5365456431,0.019
9331276745,5336120418,0.033
5365456431,4845834137,0.001
5365456431,9331276745,0.019
